Public filename,Area,Spot,In_Out,Contributor,Duration
0133.wav,kensington,hintze,indoor,S119,10.77
0134.wav,campus,square,outdoor,S14,9.24
0135.wav,westend,piazza,outdoor,S72,6.87
0136.wav,british,forecourt,outdoor,S192,8.69
0137.wav,Euston,upper,indoor,S176,11.09
0138.wav,campus,ground,indoor,S179,7.42
0139.wav,campus,square,outdoor,S164,7.19
0140.wav,campus,reception,indoor,S81,7.99
0141.wav,british,greatcourt,indoor,S64,7.95
0142.wav,kensington,marine,indoor,S145,8.32
0143.wav,westend,charing,indoor,S18,8.99
0144.wav,british,square,outdoor,S25,7.77
0145.wav,westend,trafalgar,outdoor,S119,10.6
0146.wav,westend,trafalgar,outdoor,S39,7.76
0147.wav,british,forecourt,outdoor,S64,7.45
0148.wav,british,street,outdoor,S93,8.06
0149.wav,Euston,upper,indoor,S47,7.53
0150.wav,westend,trafalgar,outdoor,S11,7.04
0151.wav,campus,square,outdoor,S72,7.92
0152.wav,campus,reception,indoor,S150,7.9
0153.wav,campus,square,outdoor,S153,11.05
0154.wav,campus,canal,outdoor,S30,11.5
0155.wav,westend,national,indoor,S11,7.04
0156.wav,british,greatcourt,indoor,S187,8.67
0157.wav,westend,charing,indoor,S90,10.01
0158.wav,Euston,ritblat,indoor,S5,8.78
0159.wav,campus,square,outdoor,S166,7.03
0160.wav,Euston,forecourt,outdoor,S100,8.74
0161.wav,campus,square,outdoor,S143,7.07
0162.wav,Euston,upper,indoor,S113,7.55
0163.wav,southbank,book,outdoor,S83,6.99
0164.wav,westend,piazza,outdoor,S148,7.83
0165.wav,southbank,food,outdoor,S42,7.27
0166.wav,westend,leicester,outdoor,S154,8
0167.wav,british,square,outdoor,S115,9.01
0168.wav,campus,reception,indoor,S141,7.75
0169.wav,westend,charing,indoor,S135,8.8
0170.wav,british,square,outdoor,S80,9.47
0171.wav,kensington,dinosaur,indoor,S83,7.08
0172.wav,southbank,food,outdoor,S71,7.41
0173.wav,british,square,outdoor,S124,7.08
0174.wav,kensington,albert,outdoor,S1,6.9
0175.wav,campus,ground,indoor,S24,7.78
0176.wav,Euston,piazza,outdoor,S89,7.55
0177.wav,westend,trafalgar,outdoor,S6,7.78
0178.wav,campus,square,outdoor,S190,8.23
0179.wav,campus,curve,indoor,S27,7.89
0180.wav,british,forecourt,outdoor,S25,8.59
0181.wav,campus,canal,outdoor,S79,7.01
0182.wav,british,room12,indoor,S51,8.87
0183.wav,british,room12,indoor,S48,7.8
0184.wav,westend,trafalgar,outdoor,S144,9.13
0185.wav,westend,trafalgar,outdoor,S178,8.43
0186.wav,westend,market,indoor,S13,13.14
0187.wav,westend,trafalgar,outdoor,S104,8.27
0188.wav,westend,market,indoor,S144,9.79
0189.wav,westend,trafalgar,outdoor,S56,10.3
0190.wav,british,greatcourt,indoor,S144,9.99
0191.wav,campus,ground,indoor,S130,7.13
0192.wav,westend,charing,indoor,S36,7
0193.wav,campus,canal,outdoor,S31,8.89
0194.wav,campus,square,outdoor,S135,9.06
0195.wav,Euston,piazza,outdoor,S110,16.68
0196.wav,campus,curve,indoor,S78,7.38
0197.wav,campus,library,outdoor,S26,7.02
0198.wav,kensington,hintze,indoor,S132,6.97
0199.wav,westend,piazza,outdoor,S144,8.57
0200.wav,british,forecourt,outdoor,S181,10.26
0201.wav,Euston,library,indoor,S50,7.7
0202.wav,southbank,waterloo,indoor,S74,9.33
0203.wav,campus,curve,indoor,S28,7.52
0204.wav,westend,leicester,outdoor,S46,7.78
0205.wav,british,greatcourt,indoor,S168,7.04
0206.wav,campus,square,outdoor,S111,7.41
0207.wav,Euston,upper,indoor,S129,7.39
0208.wav,campus,square,outdoor,S23,8.41
0209.wav,british,square,outdoor,S108,7.71
0210.wav,southbank,bridge,outdoor,S163,7
0211.wav,british,forecourt,outdoor,S183,8.28
0212.wav,campus,canal,outdoor,S164,7.21
0213.wav,kensington,cromwell,outdoor,S1,7.3
0214.wav,british,room23,indoor,S39,8.15
0215.wav,westend,piazza,outdoor,S115,7.78
0216.wav,Euston,ritblat,indoor,S57,13.14
0217.wav,westend,national,indoor,S35,7.17
0218.wav,southbank,food,outdoor,S156,7.04
0219.wav,campus,curve,indoor,S86,7.11
0220.wav,westend,piazza,outdoor,S84,7.02
0221.wav,campus,canal,outdoor,S126,7.84
0222.wav,kensington,albert,outdoor,S107,8.05
0223.wav,british,street,outdoor,S51,8.27
0224.wav,campus,ground,indoor,S5,9.29
0225.wav,campus,canal,outdoor,S59,8.03
0226.wav,westend,trafalgar,outdoor,S52,7.83
0227.wav,westend,piazza,outdoor,S133,7.87
0228.wav,campus,canal,outdoor,S21,7.87
0229.wav,campus,ground,indoor,S57,11.36
0230.wav,campus,canal,outdoor,S165,7.62
0231.wav,westend,piazza,outdoor,S127,7.94
0232.wav,campus,ground,indoor,S167,7.83
0233.wav,british,greatcourt,indoor,S131,8.62
0234.wav,british,room12,indoor,S168,7.04
0235.wav,british,room12,indoor,S14,12.13
0236.wav,campus,library,outdoor,S78,7.73
0237.wav,campus,curve,indoor,S136,7.85
0238.wav,campus,library,outdoor,S3,19.95
0239.wav,campus,square,outdoor,S11,7.04
0240.wav,campus,library,outdoor,S113,7.43
0241.wav,southbank,book,outdoor,S79,7.01
0242.wav,westend,leicester,outdoor,S56,11.25
0243.wav,westend,market,indoor,S122,8.17
0244.wav,campus,reception,indoor,S139,8.58
0245.wav,british,forecourt,outdoor,S66,7.9
0246.wav,campus,library,outdoor,S151,9.01
0247.wav,southbank,waterloo,indoor,S118,10.82
0248.wav,campus,reception,indoor,S109,7.06
0249.wav,westend,leicester,outdoor,S86,7.11
0250.wav,campus,curve,indoor,S179,7.46
0251.wav,campus,reception,indoor,S168,7.04
0252.wav,british,street,outdoor,S184,7.94
0253.wav,southbank,bridge,outdoor,S71,7.87
0254.wav,british,room12,indoor,S10,12.97
0255.wav,Euston,ritblat,indoor,S89,7.64
0256.wav,campus,square,outdoor,S3,23.72
0257.wav,campus,square,outdoor,S51,7.94
0258.wav,british,forecourt,outdoor,S40,7.04
0259.wav,southbank,skate,outdoor,S49,9.15
0260.wav,british,forecourt,outdoor,S139,11.34
0261.wav,campus,reception,indoor,S10,10.94
0262.wav,campus,ground,indoor,S107,7.79
0263.wav,campus,canal,outdoor,S12,7.7
0264.wav,campus,library,outdoor,S112,7.83
0265.wav,campus,ground,indoor,S19,7.51
0266.wav,westend,market,indoor,S57,9.81
0267.wav,westend,market,indoor,S83,7.09
0268.wav,british,room12,indoor,S63,7.53
0269.wav,campus,ground,indoor,S31,8.48
0270.wav,Euston,gardens,outdoor,S187,8.7
0271.wav,southbank,skate,outdoor,S115,8.15
0272.wav,westend,leicester,outdoor,S90,14.23
0273.wav,southbank,food,outdoor,S170,7.58
0274.wav,westend,leicester,outdoor,S17,8.27
0275.wav,campus,reception,indoor,S46,7.71
0276.wav,westend,charing,indoor,S189,8.21
0277.wav,campus,ground,indoor,S86,7.04
0278.wav,westend,leicester,outdoor,S35,7.25
0279.wav,british,room12,indoor,S60,8.28
0280.wav,british,square,outdoor,S107,7.58
0281.wav,westend,trafalgar,outdoor,S173,7.01
0282.wav,southbank,waterloo,indoor,S62,8.5
0283.wav,campus,canal,outdoor,S176,8.41
0284.wav,british,greatcourt,indoor,S118,10.61
0285.wav,british,street,outdoor,S106,7.59
0286.wav,Euston,upper,indoor,S38,9.47
0287.wav,british,street,outdoor,S136,7.95
0288.wav,Euston,ritblat,indoor,S100,7.38
0289.wav,british,square,outdoor,S52,7.89
0290.wav,southbank,book,outdoor,S49,8.89
0291.wav,westend,charing,indoor,S27,9.28
0292.wav,westend,trafalgar,outdoor,S134,7.62
0293.wav,westend,national,indoor,S153,8.18
0294.wav,westend,trafalgar,outdoor,S106,7.42
0295.wav,campus,library,outdoor,S186,7.13
0296.wav,westend,market,indoor,S137,7.51
0297.wav,british,forecourt,outdoor,S63,7.74
0298.wav,british,room23,indoor,S23,7.45
0299.wav,british,square,outdoor,S154,8
0300.wav,westend,leicester,outdoor,S172,7.5
0301.wav,campus,library,outdoor,S35,7.4
0302.wav,british,greatcourt,indoor,S108,8.2
0303.wav,campus,square,outdoor,S68,6.42
0304.wav,british,forecourt,outdoor,S23,7.81
0305.wav,southbank,bridge,outdoor,S168,7.04
0306.wav,british,square,outdoor,S88,7.64
0307.wav,campus,ground,indoor,S50,7.92
0308.wav,westend,market,indoor,S179,7.7
0309.wav,british,greatcourt,indoor,S141,8.66
0310.wav,westend,leicester,outdoor,S189,7.81
0311.wav,british,greatcourt,indoor,S39,7.62
0312.wav,Euston,forecourt,outdoor,S140,7.85
0313.wav,southbank,royal,indoor,S96,7.1
0314.wav,southbank,skate,outdoor,S41,8.75
0315.wav,campus,library,outdoor,S9,7.9
0316.wav,southbank,food,outdoor,S77,7.39
0317.wav,british,forecourt,outdoor,S80,9.17
0318.wav,southbank,skate,outdoor,S118,10.61
0319.wav,Euston,forecourt,outdoor,S85,7.46
0320.wav,campus,ground,indoor,S1,7.21
0321.wav,british,forecourt,outdoor,S135,10.57
0322.wav,campus,library,outdoor,S66,7.98
0323.wav,campus,library,outdoor,S138,8.11
0324.wav,british,room12,indoor,S108,7.79
0325.wav,campus,canal,outdoor,S144,8.51
0326.wav,british,street,outdoor,S71,7.6
0327.wav,westend,trafalgar,outdoor,S31,9.38
0328.wav,southbank,skate,outdoor,S163,7
0329.wav,british,greatcourt,indoor,S124,7.08
0330.wav,southbank,food,outdoor,S126,8.77
0331.wav,campus,ground,indoor,S42,7.31
0332.wav,campus,reception,indoor,S130,7.44
0333.wav,westend,trafalgar,outdoor,S177,9.06
0334.wav,southbank,skate,outdoor,S29,7.9
0335.wav,westend,leicester,outdoor,S115,9.52
0336.wav,campus,curve,indoor,S176,9.28
0337.wav,campus,curve,indoor,S190,8.5
0338.wav,kensington,albert,outdoor,S169,7.5
0339.wav,british,square,outdoor,S68,5.5
0340.wav,westend,trafalgar,outdoor,S96,7.07
0341.wav,campus,curve,indoor,S11,6.99
0342.wav,campus,square,outdoor,S177,8.71
0343.wav,campus,curve,indoor,S63,7.72
0344.wav,kensington,pond,outdoor,S119,10.47
0345.wav,british,forecourt,outdoor,S15,7.98
0346.wav,campus,ground,indoor,S74,10.57
0347.wav,kensington,cromwell,outdoor,S83,7.48
0348.wav,Euston,piazza,outdoor,S113,8.34
0349.wav,british,room12,indoor,S86,7.04
0350.wav,Euston,library,indoor,S89,8.01
0351.wav,campus,reception,indoor,S62,8.3
0352.wav,Euston,piazza,outdoor,S57,13.28
0353.wav,british,square,outdoor,S94,7.48
0354.wav,Euston,piazza,outdoor,S90,8.64
0355.wav,westend,piazza,outdoor,S78,7.57
0356.wav,southbank,royal,indoor,S47,7.98
0357.wav,campus,library,outdoor,S80,9.59
0358.wav,Euston,library,indoor,S110,10.22
0359.wav,southbank,bridge,outdoor,S34,8.5
0360.wav,westend,charing,indoor,S89,7.38
0361.wav,westend,trafalgar,outdoor,S91,7.41
0362.wav,campus,canal,outdoor,S49,8.85
0363.wav,kensington,hintze,indoor,S148,7.04
0364.wav,Euston,forecourt,outdoor,S113,7.64
0365.wav,campus,curve,indoor,S163,8.45
0366.wav,kensington,dinosaur,indoor,S179,7.5
0367.wav,westend,trafalgar,outdoor,S81,8.87
0368.wav,westend,piazza,outdoor,S30,11.38
0369.wav,southbank,book,outdoor,S109,7.9
0370.wav,british,square,outdoor,S5,7.96
0371.wav,campus,curve,indoor,S51,8.08
0372.wav,westend,national,indoor,S113,8.5
0373.wav,westend,piazza,outdoor,S154,8
0374.wav,kensington,albert,outdoor,S84,7.02
0375.wav,campus,curve,indoor,S181,9.6
0376.wav,westend,market,indoor,S191,7.8
0377.wav,southbank,bridge,outdoor,S45,7.01
0378.wav,campus,curve,indoor,S3,19.98
0379.wav,campus,square,outdoor,S186,7.43
0380.wav,campus,reception,indoor,S91,7.55
0381.wav,british,room12,indoor,S186,6.9
0382.wav,kensington,hintze,indoor,S32,7.66
0383.wav,westend,trafalgar,outdoor,S129,6.67
0384.wav,kensington,hintze,indoor,S72,7.55
0385.wav,Euston,library,indoor,S59,8.03
0386.wav,british,room12,indoor,S3,12.04
0387.wav,southbank,book,outdoor,S41,9.06
0388.wav,campus,library,outdoor,S97,7.08
0389.wav,westend,trafalgar,outdoor,S51,7.17
0390.wav,westend,piazza,outdoor,S21,7.17
0391.wav,british,greatcourt,indoor,S38,13.46
0392.wav,westend,charing,indoor,S148,7.37
0393.wav,southbank,bridge,outdoor,S118,10.52
0394.wav,westend,leicester,outdoor,S83,7.06
0395.wav,campus,square,outdoor,S60,8.64
0396.wav,campus,library,outdoor,S101,7.57
0397.wav,campus,reception,indoor,S50,7.57
0398.wav,Euston,library,indoor,S60,8.71
0399.wav,westend,leicester,outdoor,S167,8.13
0400.wav,campus,library,outdoor,S108,7.55
0401.wav,british,room12,indoor,S82,7.49
0402.wav,westend,charing,indoor,S49,8.59
0403.wav,campus,library,outdoor,S11,6.87
0404.wav,campus,library,outdoor,S49,8.82
0405.wav,Euston,library,indoor,S187,9.77
0406.wav,Euston,gardens,outdoor,S176,10.2
0407.wav,westend,charing,indoor,S152,11.99
0408.wav,british,room23,indoor,S89,8.96
0409.wav,campus,library,outdoor,S155,7.51
0410.wav,southbank,royal,indoor,S87,11.43
0411.wav,southbank,book,outdoor,S67,7.85
0412.wav,Euston,ritblat,indoor,S114,8.2
0413.wav,campus,canal,outdoor,S16,7.72
0414.wav,campus,curve,indoor,S107,8.13
0415.wav,campus,canal,outdoor,S146,7.89
0416.wav,british,forecourt,outdoor,S6,7.85
0417.wav,campus,square,outdoor,S39,8.69
0418.wav,campus,canal,outdoor,S34,8.1
0419.wav,british,street,outdoor,S189,7.51
0420.wav,british,forecourt,outdoor,S104,8.36
0421.wav,westend,trafalgar,outdoor,S131,8.59
0422.wav,british,street,outdoor,S107,8.43
0423.wav,british,street,outdoor,S6,7.82
0424.wav,british,forecourt,outdoor,S7,8.13
0425.wav,southbank,bridge,outdoor,S54,10.96
0426.wav,southbank,royal,indoor,S79,7
0427.wav,westend,market,indoor,S148,7.43
0428.wav,Euston,gardens,outdoor,S140,7.93
0429.wav,campus,reception,indoor,S13,11.54
0430.wav,british,square,outdoor,S168,7.04
0431.wav,kensington,cromwell,outdoor,S167,7.89
0432.wav,campus,ground,indoor,S146,7.38
0433.wav,kensington,hintze,indoor,S9,8.87
0434.wav,british,room12,indoor,S122,7.72
0435.wav,campus,library,outdoor,S34,8.02
0436.wav,british,greatcourt,indoor,S51,7.94
0437.wav,westend,piazza,outdoor,S86,7.11
0438.wav,westend,leicester,outdoor,S11,7.11
0439.wav,campus,reception,indoor,S155,7.57
0440.wav,westend,charing,indoor,S182,7.87
0441.wav,british,room12,indoor,S110,11.65
0442.wav,campus,curve,indoor,S73,7.33
0443.wav,campus,square,outdoor,S137,7.42
0444.wav,kensington,pond,outdoor,S145,7.72
0445.wav,southbank,bridge,outdoor,S42,7.48
0446.wav,southbank,food,outdoor,S91,7.68
0447.wav,campus,square,outdoor,S17,7.59
0448.wav,campus,library,outdoor,S127,7.04
0449.wav,westend,charing,indoor,S115,7.92
0450.wav,Euston,forecourt,outdoor,S54,9.01
0451.wav,westend,market,indoor,S183,8
0452.wav,campus,curve,indoor,S103,7.02
0453.wav,british,greatcourt,indoor,S192,9.27
0454.wav,campus,square,outdoor,S144,8.24
0455.wav,campus,canal,outdoor,S114,7.1
0456.wav,westend,trafalgar,outdoor,S101,7.53
0457.wav,westend,national,indoor,S139,8.77
0458.wav,westend,national,indoor,S57,11.76
0459.wav,westend,trafalgar,outdoor,S127,7.87
0460.wav,kensington,hintze,indoor,S114,7.66
0461.wav,british,street,outdoor,S182,7.7
0462.wav,westend,leicester,outdoor,S78,7.52
0463.wav,westend,market,indoor,S152,12.33
0464.wav,campus,curve,indoor,S65,8.43
0465.wav,campus,ground,indoor,S4,7.96
0466.wav,campus,ground,indoor,S78,7.59
0467.wav,westend,charing,indoor,S34,8.5
0468.wav,westend,piazza,outdoor,S185,8.8
0469.wav,westend,market,indoor,S139,6.19
0470.wav,westend,national,indoor,S129,7.23
0471.wav,campus,reception,indoor,S144,8.58
0472.wav,kensington,hintze,indoor,S56,10.43
0473.wav,campus,library,outdoor,S131,10.35
0474.wav,british,forecourt,outdoor,S14,10.29
0475.wav,british,forecourt,outdoor,S178,8.13
0476.wav,campus,canal,outdoor,S156,7.06
0477.wav,campus,square,outdoor,S59,8.01
0478.wav,southbank,food,outdoor,S118,11.21
0479.wav,british,room12,indoor,S154,8
0480.wav,campus,reception,indoor,S181,9.02
0481.wav,campus,canal,outdoor,S121,7.43
0482.wav,campus,curve,indoor,S61,7.1
0483.wav,british,greatcourt,indoor,S172,8.93
0484.wav,westend,leicester,outdoor,S15,7.98
0485.wav,westend,charing,indoor,S81,8.34
0486.wav,southbank,food,outdoor,S47,8.85
0487.wav,campus,curve,indoor,S119,10.84
0488.wav,westend,leicester,outdoor,S135,11.87
0489.wav,westend,charing,indoor,S99,9.03
0490.wav,westend,piazza,outdoor,S147,7.31
0491.wav,british,room12,indoor,S184,6
0492.wav,westend,piazza,outdoor,S151,9.43
0493.wav,westend,piazza,outdoor,S31,9.68
0494.wav,british,square,outdoor,S8,8.58
0495.wav,british,greatcourt,indoor,S85,7.55
0496.wav,kensington,cromwell,outdoor,S72,7.71
0497.wav,southbank,bridge,outdoor,S91,7.42
0498.wav,campus,ground,indoor,S51,7.69
0499.wav,southbank,bridge,outdoor,S67,8.77
0500.wav,campus,square,outdoor,S179,7.39
0501.wav,campus,square,outdoor,S157,8.7
0502.wav,kensington,pond,outdoor,S147,7.01
0503.wav,british,room12,indoor,S124,7.08
0504.wav,southbank,food,outdoor,S17,7.57
0505.wav,westend,leicester,outdoor,S39,7.5
0506.wav,westend,national,indoor,S157,7.57
0507.wav,campus,library,outdoor,S162,8.75
0508.wav,campus,square,outdoor,S49,8.99
0509.wav,westend,market,indoor,S165,8.09
0510.wav,campus,square,outdoor,S29,8.05
0511.wav,british,greatcourt,indoor,S58,7.43
0512.wav,westend,charing,indoor,S185,8.87
0513.wav,Euston,forecourt,outdoor,S62,7.63
0514.wav,westend,leicester,outdoor,S24,7.74
0515.wav,campus,library,outdoor,S23,8.45
0516.wav,westend,market,indoor,S55,11.45
0517.wav,westend,national,indoor,S72,7.55
0518.wav,campus,square,outdoor,S105,7.77
0519.wav,campus,square,outdoor,S107,8.13
0520.wav,westend,market,indoor,S48,7.69
0521.wav,british,square,outdoor,S86,7.04
0522.wav,campus,library,outdoor,S176,8.09
0523.wav,westend,piazza,outdoor,S152,12.73
0524.wav,southbank,skate,outdoor,S71,7.99
0525.wav,campus,canal,outdoor,S138,8.11
0526.wav,british,forecourt,outdoor,S118,10.75
0527.wav,westend,trafalgar,outdoor,S181,10.5
0528.wav,campus,canal,outdoor,S172,9.94
0529.wav,westend,charing,indoor,S154,8
0530.wav,campus,ground,indoor,S75,7.21
0531.wav,Euston,upper,indoor,S109,7.62
0532.wav,Euston,gardens,outdoor,S38,9.1
0533.wav,british,square,outdoor,S110,10.62
0534.wav,campus,ground,indoor,S40,7.04
0535.wav,Euston,gardens,outdoor,S150,8.22
0536.wav,campus,library,outdoor,S129,7.3
0537.wav,campus,reception,indoor,S112,8.03
0538.wav,Euston,piazza,outdoor,S12,7.86
0539.wav,british,square,outdoor,S24,7.59
0540.wav,campus,ground,indoor,S56,12
0541.wav,campus,curve,indoor,S95,7.83
0542.wav,kensington,albert,outdoor,S99,7.04
0543.wav,southbank,bridge,outdoor,S115,9.31
0544.wav,Euston,upper,indoor,S43,7.76
0545.wav,campus,ground,indoor,S77,7.55
0546.wav,campus,library,outdoor,S43,7.9
0547.wav,campus,reception,indoor,S113,7.27
0548.wav,campus,square,outdoor,S155,7.61
0549.wav,british,room23,indoor,S124,7.13
0550.wav,campus,canal,outdoor,S163,7
0551.wav,campus,reception,indoor,S165,7.54
0552.wav,westend,trafalgar,outdoor,S21,7.51
0553.wav,campus,curve,indoor,S138,7.94
0554.wav,westend,leicester,outdoor,S61,7.18
0555.wav,westend,market,indoor,S46,7.83
0556.wav,british,forecourt,outdoor,S108,8.03
0557.wav,british,greatcourt,indoor,S112,8.03
0558.wav,Euston,gardens,outdoor,S114,9.8
0559.wav,westend,market,indoor,S99,8.03
0560.wav,campus,square,outdoor,S19,8.75
0561.wav,westend,national,indoor,S155,7.87
0562.wav,westend,national,indoor,S21,8
0563.wav,british,forecourt,outdoor,S5,7.73
0564.wav,westend,market,indoor,S155,7.74
0565.wav,southbank,waterloo,indoor,S29,7.73
0566.wav,campus,canal,outdoor,S159,7.13
0567.wav,british,square,outdoor,S66,7.66
0568.wav,campus,square,outdoor,S48,7.71
0569.wav,campus,square,outdoor,S193,7.72
0570.wav,campus,canal,outdoor,S169,7.62
0571.wav,kensington,pond,outdoor,S179,7.86
0572.wav,southbank,food,outdoor,S67,7.79
0573.wav,westend,market,indoor,S71,8.68
0574.wav,westend,national,indoor,S143,7.07
0575.wav,westend,piazza,outdoor,S178,8.57
0576.wav,kensington,dinosaur,indoor,S99,7.89
0577.wav,Euston,upper,indoor,S142,10.29
0578.wav,westend,national,indoor,S159,7.13
0579.wav,british,square,outdoor,S81,8.7
0580.wav,westend,trafalgar,outdoor,S27,10.03
0581.wav,westend,market,indoor,S177,9.8
0582.wav,westend,charing,indoor,S16,7.94
0583.wav,campus,reception,indoor,S94,7.48
