,0,1,2,3,4,busy
0066.wav,3.4804667e-05,1.8975468e-05,1.70696e-05,2.4512225e-05,2.652087e-05,True
0067.wav,0.0,0.0,0.0,0.0,0.0,False
0068.wav,0.03062167,0.028365523,0.023794712,0.017469045,0.0224175,False
0069.wav,0.0,0.0,0.0,0.0,0.0,False
0070.wav,1.9229724,1.7736456,1.5101912,1.4214299,1.2791,True
0071.wav,1.2890797,0.70321274,0.2460272,-0.16009808,-0.24649069,True
0072.wav,0.7958133,-0.1007946,-0.9737128,-1.5254672,-1.7112119,True
0073.wav,1.512209,0.6294946,-0.06672607,-0.7694906,-1.5705817,False
0074.wav,0.10746618,0.11481254,0.113863386,0.11837641,0.11522166,False
0075.wav,1.3640833,0.7957223,0.8912874,1.1089486,0.5784248,False
0076.wav,0.15053418,0.071870595,0.019600019,-0.0446603,-0.047418892,True
0077.wav,0.00037581942,0.00032083254,0.0002673529,0.00023924054,0.0001897811,False
0078.wav,0.034966245,0.03298838,0.025905818,0.013634243,0.009013278,True
0079.wav,0.028340124,0.012241274,0.0052192933,0.008310324,0.02892844,False
0080.wav,0.0035041051,0.0039781285,0.0044240253,0.0041393302,0.0035711708,False
0081.wav,3.4897536e-11,-4.2494533e-10,-4.3701934e-10,4.9368058e-11,2.6138994e-10,False
0082.wav,0.27062923,0.20255333,0.27974766,0.36809433,0.3000086,False
0083.wav,0.090611905,0.04263697,0.020316446,0.0070461184,0.0033697202,False
0084.wav,1.7293746,1.6192068,1.52966,1.421301,1.3100467,True
0085.wav,7.6887716e-07,5.353679e-07,1.2820409e-06,1.0254037e-06,1.9436752e-07,False
0086.wav,3.855336e-06,-1.7485916e-05,-2.7824726e-06,-1.6217877e-05,1.0444505e-05,True
0087.wav,2.7979147,2.359023,1.4388303,0.5014913,0.39708126,True
0088.wav,0.16808933,0.39053857,0.3388672,0.2140752,0.5657016,True
0089.wav,0.931635,0.8360007,0.7346929,0.5706582,0.3885468,False
0090.wav,0.86706424,1.0032706,0.9038236,0.677228,0.4544798,False
0091.wav,-0.60150325,-0.60915947,-0.5741513,-0.5749582,-0.50754,True
0092.wav,1.0421526,0.97400033,0.9768115,0.96300966,0.9793056,False
0093.wav,-1.0800017e-06,-1.9833742e-06,-1.161192e-06,-1.438267e-06,-5.737965e-07,True
0094.wav,0.00058116217,0.00052700436,0.00059367664,0.00043159997,0.00022612404,False
0095.wav,0.043313526,0.032752566,0.029108075,0.017989323,0.0025007548,False
0096.wav,-0.040708333,-0.09753259,-0.095832825,-0.11341205,-0.11255264,True
0097.wav,0.017348805,0.016195387,0.014560368,0.012950607,0.012394231,False
0098.wav,0.01364498,0.010888755,0.008451607,0.0059133107,0.0031511267,True
0099.wav,-0.22934884,-0.15265988,-0.13458282,-0.13166764,-0.301333,True
0100.wav,8.454945,7.8458157,7.598935,7.0901766,6.615341,False
0101.wav,-0.0003063614,-0.00022332586,-0.00014270237,-9.356333e-05,-4.710396e-05,True
0102.wav,-1.5225709e-12,-3.7650785e-12,5.9098376e-14,-1.4547888e-12,-5.5975493e-13,False
0103.wav,-0.0007963568,-0.0036395076,-0.003216785,-0.001998458,-0.0017362158,False
0104.wav,0.0,0.0,0.0,0.0,0.0,False
0105.wav,0.7932392,0.6983842,0.599828,0.63266593,0.6714137,False
0106.wav,-1.7567729e-06,-1.7851678e-06,-1.3334095e-06,-1.1192603e-06,-7.175464e-07,True
0107.wav,-7.520513e-07,-7.6817696e-07,-1.7689803e-08,-9.194055e-09,4.4681997e-07,True
0108.wav,7.0637896e-09,-1.4625283e-07,3.2137132e-07,-2.7756691e-08,6.678567e-08,True
0109.wav,-6.59816e-08,-1.6993167e-07,-1.2079673e-07,-4.2442714e-08,4.9461065e-08,False
0110.wav,3.1700277,2.4863238,1.6746194,1.5475541,1.2903835,False
0111.wav,0.45490938,0.46493784,0.45380658,0.4286574,0.39952093,False
0112.wav,0.9096924,0.7954309,0.7445909,0.6991713,0.6998935,False
0113.wav,3.019902,2.9026976,2.8125882,2.6911817,2.5489752,False
0114.wav,-4.605107e-12,-1.2138059e-11,-1.0759595e-11,7.009377e-13,-1.3426914e-11,True
0115.wav,6.2378902,5.903933,5.5899057,5.272684,4.8843904,False
0116.wav,-1.37751e-05,-7.685305e-06,-4.276185e-06,-2.0679636e-06,3.3648098e-06,False
0117.wav,4.46105,4.045196,3.7188373,3.3591707,3.0349503,False
0118.wav,2.6077433,2.3667917,2.101769,1.8179877,1.5848349,False
0119.wav,-4.813707e-05,-4.9580656e-05,-5.9826565e-05,-2.8376733e-05,-1.0847618e-05,True
0120.wav,0.60772383,0.69514334,0.7282681,0.7013116,0.59710395,False
0121.wav,0.11138751,0.12560345,0.1560555,0.14110076,0.12251145,True
0122.wav,-0.4548181,-0.42243874,-0.38384184,-0.32347143,-0.18844998,True
0123.wav,0.11046712,-0.09181901,-0.26831204,-0.39409718,-0.5093236,True
0124.wav,-0.9499347,-1.3718641,-1.0279372,-0.8759965,-0.17074767,False
0125.wav,-0.0018069188,-0.07851195,-0.21898589,-0.44286495,-0.60979116,True
0126.wav,0.00018812636,0.00017613539,0.00015358438,0.00012525174,9.054408e-05,True
0127.wav,-0.94502425,-0.32732487,-0.17716265,-0.25689107,-0.6281216,True
0128.wav,-0.0035825097,-0.003870111,-0.00404975,-0.0052619292,-0.008080639,True
0129.wav,2.6384087,2.5751681,2.3342795,2.2875848,2.296471,True
0130.wav,-0.6045358,0.74818814,1.479087,1.9419074,2.456233,True
0131.wav,-1.7549598e-13,-6.280252e-13,-4.862998e-13,2.8789454e-14,1.9439028e-13,True
0132.wav,0.0,0.0,0.0,0.0,0.0,True
0133.wav,0.0022747703,-0.070831135,-0.09680849,-0.10350663,-0.09633608,True
0134.wav,0.001937435,0.0013992938,0.0022503557,0.0011639721,-5.7638288e-05,False
0135.wav,0.21438104,0.09622817,-0.14252429,-0.38033426,-0.35992748,False
0136.wav,1.6177938e-07,-3.7560534e-07,-1.4605328e-07,-2.6548204e-07,-1.1300345e-07,False
0137.wav,1.787653e-05,3.582112e-06,-3.1086438e-06,-3.4899413e-06,3.921217e-07,True
0138.wav,0.18397687,0.18116939,0.1514391,0.085032046,0.040576138,True
0139.wav,0.007914496,0.007943813,0.008575516,0.007411271,0.007706808,False
0140.wav,5.538433e-05,-0.00019962061,-0.0006148534,-0.0029295383,-0.0044925367,True
0141.wav,0.0,0.0,0.0,0.0,0.0,True
0142.wav,-0.00029641407,-0.00053322024,-0.00042499867,-0.0005206643,-0.00039782148,True
0143.wav,-0.92382324,-0.95392823,-0.9182844,-1.0410378,-1.1821208,True
0144.wav,-0.047066715,-0.09046063,-0.2696641,-0.10558009,0.8451642,False
0145.wav,0.17152295,0.15032782,0.17634493,0.1996353,0.23716554,False
0146.wav,5.707998,5.3251066,5.076457,4.7251387,4.6192217,False
0147.wav,0.0,0.0,0.0,0.0,0.0,False
0148.wav,-1.0767391e-07,-3.6432345e-07,2.6638773e-07,-2.852858e-07,7.2700606e-09,False
0149.wav,0.057545725,-0.23191345,-0.41145158,-0.45064884,-0.3523381,True
0150.wav,-4.8586557e-08,3.6477765e-08,-2.5938834e-07,-6.1284754e-07,-4.9807323e-07,False
0151.wav,4.827237,4.5760994,4.3209944,3.9498599,4.0859137,False
0152.wav,2.747445,2.5499616,2.4570334,2.4226625,2.5203943,True
0153.wav,1.0146643,0.9288864,0.8353691,0.72439134,0.6561942,False
0154.wav,1.3137354,1.27949,1.2601595,1.2016189,1.1315606,False
0155.wav,6.400262e-06,7.5975177e-06,1.3416682e-05,-2.177766e-06,9.774234e-06,True
0156.wav,-0.03281516,-0.04493034,-0.020556634,-0.0031321535,-0.01025763,True
0157.wav,1.7273196e-09,3.0921132e-09,6.594671e-12,-6.064923e-10,5.6255456e-10,True
0158.wav,1.2606554e-06,-3.7090172e-06,5.0360527e-06,5.114137e-06,8.864382e-06,True
0159.wav,-0.007556523,-0.0020345813,0.00062183203,2.8426306e-05,0.0038469336,False
0160.wav,0.0,0.0,0.0,0.0,0.0,False
0161.wav,1.9545499,1.8627002,2.097982,2.0945258,2.140697,False
0162.wav,-9.777493e-07,-2.6068917e-06,-2.6340367e-06,-3.0421152e-06,-1.9762037e-06,True
0163.wav,0.979792,0.9168862,0.78491604,0.75802004,0.7842661,False
0164.wav,1.7383698,1.7107117,1.5046889,1.1498053,0.9186095,False
0165.wav,-2.0497243e-08,-5.118719e-07,-1.2200954e-07,-3.5309034e-07,-8.073245e-08,False
0166.wav,1.4126046,1.0684059,0.87776136,0.77524126,0.72124755,False
0167.wav,1.178555,1.1469693,1.1057268,1.0937622,1.0446982,False
0168.wav,0.18338105,0.1632179,0.16155612,0.13891298,0.122346476,True
0169.wav,6.8003064e-06,1.6206548e-06,-1.4908919e-06,-4.7627263e-06,-4.6455384e-06,True
0170.wav,0.48373538,0.46170706,0.4395336,0.40820798,0.39410114,False
0171.wav,0.88078994,0.87655985,0.7725426,0.620255,0.5310541,True
0172.wav,0.8030058,0.8224781,0.75727475,0.6916095,0.60483426,False
0173.wav,1.2255995,1.1307992,1.0815105,1.0587248,0.96650314,False
0174.wav,0.8709258,0.87863475,0.8049395,0.6594852,0.5724658,False
0175.wav,0.852593,0.82059884,0.6486093,0.3821394,0.23215814,True
0176.wav,2.1058035,2.0044644,1.9466103,1.9125249,1.8323021,False
0177.wav,4.3997602,3.6727004,3.155656,2.6470249,1.7153306,False
0178.wav,0.61528486,0.5642439,0.52330244,0.48161146,0.45129043,False
0179.wav,-0.17119294,-0.3477364,-0.30570644,-0.3364451,-0.13235706,True
0180.wav,-4.7258673e-08,-3.3714497e-07,-2.5151333e-08,-2.3048352e-07,3.4212338e-08,False
0181.wav,-2.1092,-2.0549853,-1.0220885,-1.1863668,-0.7486211,False
0182.wav,0.092373386,0.05004161,0.023878925,-0.010224706,-0.024786547,True
0183.wav,5.1050574e-06,2.7660935e-06,-4.515978e-07,-2.7020956e-06,-2.4499352e-06,True
0184.wav,0.0,0.0,0.0,0.0,0.0,False
0185.wav,4.2035756,3.9260867,3.7538338,3.5731058,3.3891912,False
0186.wav,0.0218952,0.006667901,0.08677652,0.17276953,0.2126228,True
0187.wav,0.17299263,0.13372153,0.108895026,0.08576894,0.05762204,False
0188.wav,0.0,0.0,0.0,0.0,0.0,True
0189.wav,0.5382923,0.5492758,0.53815484,0.51309395,0.46228242,False
0190.wav,0.0,0.0,0.0,0.0,0.0,True
0191.wav,0.010884989,0.009503186,0.007738979,0.0061697382,0.0059554433,True
0192.wav,-0.08540936,-0.07116379,0.0066394676,-0.039688114,-0.11700165,True
0193.wav,0.037742972,0.06317522,0.24160618,0.28437328,-0.29422265,False
0194.wav,2.3715486e-06,2.4513207e-07,3.03063e-06,4.3547743e-06,4.2719066e-06,False
0195.wav,0.0043572085,0.0039053047,0.004169686,0.004236183,0.0037465338,False
0196.wav,-6.5297013e-07,-7.572271e-07,-2.934371e-07,-2.1001375e-07,4.525041e-08,True
0197.wav,4.1385232e-05,-1.5726905e-06,2.180895e-06,-2.1327915e-06,-2.527631e-05,False
0198.wav,-0.49003145,-1.197701,-2.1559258,-3.2284327,-4.281623,True
0199.wav,0.0,0.0,0.0,0.0,0.0,False
0200.wav,1.252713,1.1927865,1.1488705,1.1350467,1.1270974,False
0201.wav,0.02745934,-0.0028135134,-0.074995756,-0.13770762,-0.19321133,True
0202.wav,0.31467003,0.29274824,0.28993773,0.2557854,0.21276653,True
0203.wav,-1.3699152e-05,-1.6115704e-05,-1.46373595e-05,-1.2177399e-05,-6.3616667e-06,True
0204.wav,-6.129236e-07,1.7013915e-07,4.6587212e-07,-9.477313e-08,-2.792431e-08,False
0205.wav,-0.119427845,-0.12667106,-0.17654777,-0.4201982,-0.6640538,True
0206.wav,-1.657476e-07,-1.9554884e-07,2.76799e-07,2.5017371e-08,2.2181801e-07,False
0207.wav,0.69753075,0.5162659,0.3730598,0.20173863,0.10968631,True
0208.wav,0.35826692,0.34834844,0.33437234,0.29836792,0.2612963,False
0209.wav,0.000348478,0.00059210014,-0.0004999198,-0.00045688395,-0.00029391242,False
0210.wav,2.3063543,2.1335855,2.0277407,1.9275438,1.8351259,False
0211.wav,5.999193e-05,-0.00023290962,-0.00021859347,9.818694e-05,0.00055725337,False
0212.wav,-0.00080918544,-0.0010713837,-0.0012696146,-0.001299259,-0.0012304967,False
0213.wav,1.0043933,0.9386805,0.9282484,0.8765893,0.8164246,False
0214.wav,-0.83674806,-0.8689965,-1.3031073,-1.8370961,-1.8145058,True
0215.wav,1.7486607,1.3726977,1.3395159,1.145907,0.9687681,False
0216.wav,0.0,0.0,0.0,0.0,0.0,True
0217.wav,3.3576282e-06,2.989951e-06,2.74559e-06,2.3658117e-06,2.326749e-06,True
0218.wav,0.49404955,0.318554,0.18049836,0.11149399,0.073645726,False
0219.wav,9.814577e-07,-1.7042514e-07,-2.425515e-07,-8.2130765e-07,-3.3575148e-07,True
0220.wav,-0.12949443,-0.16889599,-0.21174683,-0.2509907,-0.25980082,False
0221.wav,0.98745155,0.7552234,1.7210715,1.6044238,1.8635023,False
0222.wav,0.56349695,0.56872743,0.57006586,0.59056896,0.62887096,False
0223.wav,-0.24059042,-0.07320211,0.4175653,0.44899595,0.057472527,False
0224.wav,1.6353407e-06,7.8176936e-07,5.920417e-07,-1.3565555e-08,1.6407672e-07,True
0225.wav,-0.22866124,-0.11935319,0.18106216,0.26656395,0.15007928,False
0226.wav,-1.7874852e-06,-1.4690709e-06,-8.90848e-07,-7.0806107e-07,-2.600819e-07,False
0227.wav,0.038616262,0.08145708,0.088443324,0.115844846,0.18826114,False
0228.wav,0.39346206,0.5035211,0.45690298,0.27270865,0.28457868,False
0229.wav,0.0,0.0,0.0,0.0,0.0,True
0230.wav,0.29278216,0.08642927,0.15484877,-0.009155343,-0.07442376,False
0231.wav,0.48652446,0.22182229,0.05861833,-0.19961125,-0.49473894,False
0232.wav,-2.1516468e-07,-5.794956e-07,-2.0665334e-07,-2.760486e-07,-8.323845e-09,True
0233.wav,-0.9070922,-0.9090444,-0.89905035,-1.0270143,-1.2663658,True
0234.wav,0.30008018,0.27189234,0.1359277,0.116429575,0.14597818,True
0235.wav,0.0003109292,0.00031176617,0.00022861458,9.25927e-05,0.00010172813,True
0236.wav,4.5063803e-06,-2.837159e-07,-1.5526491e-06,-3.3945855e-06,-2.4218245e-06,False
0237.wav,0.08078088,0.07311818,0.06632237,0.010726776,0.005948334,True
0238.wav,0.6531848,0.64152986,0.6088823,0.603696,0.5907896,False
0239.wav,-1.116326e-07,-3.0023529e-07,1.5973252e-07,-4.287705e-07,1.4416196e-07,False
0240.wav,-2.2367456e-07,-2.8113753e-08,-3.994724e-08,2.6011381e-08,7.571951e-08,False
0241.wav,1.6984468,1.5976303,1.484936,1.3322682,1.1032684,False
0242.wav,0.23726094,0.19528118,0.16305289,0.15950316,0.15179251,False
0243.wav,-0.00801201,-0.01180738,-0.011529533,-0.012565689,-0.012090474,True
0244.wav,-0.0033223173,-0.0032126529,-0.002945261,-0.0032446613,-0.003579178,True
0245.wav,1.9976483e-06,-3.7690995e-06,1.2448511e-06,-2.542497e-06,5.760968e-07,False
0246.wav,0.6653011,0.5441405,0.4491431,0.29694808,0.31501412,False
0247.wav,-1.1040444,-1.9567628,-2.8664644,-3.6358333,-4.1530523,True
0248.wav,0.0,0.0,0.0,0.0,0.0,True
0249.wav,1.2305982e-06,-1.5752296e-06,1.7161196e-06,-4.6808823e-06,-9.244191e-07,False
0250.wav,0.07225193,0.07688023,0.121545844,0.122266054,0.049307436,True
0251.wav,1.1505344,1.0595961,0.95064574,0.95365417,0.981096,True
0252.wav,2.75909,2.9733768,3.0366278,2.72226,2.3371348,False
0253.wav,1.886727,1.9622831,2.388175,2.164706,2.1169133,False
0254.wav,-0.011361314,-0.005901047,0.0028496834,0.004763731,0.0050313626,True
0255.wav,0.50553644,0.47970605,0.45849246,0.4365601,0.41967577,True
0256.wav,0.9347398,0.8964627,0.79224324,0.76476234,0.79352516,False
0257.wav,0.36334187,0.3475999,0.29993325,0.22189343,0.2150272,False
0258.wav,-7.501041e-07,5.020973e-07,5.116142e-07,9.259519e-07,6.016231e-07,False
0259.wav,3.5954535,3.5073159,3.099712,2.4603024,1.7431347,False
0260.wav,0.0034262077,0.0027682744,0.0020025452,0.0012555714,0.0012741054,False
0261.wav,0.014275134,0.01330155,0.01372562,0.01831582,0.01977345,True
0262.wav,0.50542367,0.2611519,-0.07263591,-0.13949008,-0.11710987,True
0263.wav,0.111136705,0.085071355,0.08932103,0.08762765,0.06888486,False
0264.wav,0.0642583,0.04159643,0.034404844,0.023217823,0.013609441,False
0265.wav,0.44735777,0.3954383,0.34385994,0.27535617,0.22012077,True
0266.wav,0.0,0.0,0.0,0.0,0.0,True
0267.wav,0.4427164,0.43223292,0.31703442,0.15651964,-0.022203498,True
0268.wav,0.010193657,0.0027485993,0.0068613077,0.016116869,0.027063567,True
0269.wav,0.022340326,0.3257494,0.1516087,-0.007137748,-0.140302,True
0270.wav,0.53318393,0.35460174,0.2931947,0.40262508,0.30480373,False
0271.wav,0.5015868,0.30626982,0.14267522,-0.123029284,-0.17257336,False
0272.wav,0.0,0.0,0.0,0.0,0.0,False
0273.wav,0.00021708498,0.0002717155,0.0002241813,0.00014332199,9.3025155e-05,False
0274.wav,-8.33675e-07,-6.6873724e-07,-1.095041e-06,-1.3229179e-06,-1.0206932e-06,False
0275.wav,2.4631544e-07,-1.9472355e-07,-1.0352248e-07,-5.69352e-07,-4.5612452e-08,True
0276.wav,0.0134650245,-0.18065485,-0.23612732,-0.2676385,-0.31550026,True
0277.wav,4.4007106e-07,1.7796725e-07,1.9231257e-07,-4.69005e-08,6.901347e-08,True
0278.wav,-1.5480286e-09,5.7720124e-11,-2.849954e-09,-3.7491947e-09,-1.2586097e-09,False
0279.wav,0.00057416287,0.00047852442,0.00066708145,0.00067735533,0.00045504532,True
0280.wav,0.8811892,0.8465268,0.76214427,0.63537,0.45394576,False
0281.wav,1.5866303e-07,-2.1307625e-07,1.9821792e-07,2.2167082e-09,3.1625757e-07,False
0282.wav,0.56543136,0.62606597,0.17182016,-0.56390095,-1.0550994,True
0283.wav,-2.0074858e-05,-2.567218e-05,-1.263003e-05,-1.1779176e-05,-6.190662e-07,False
0284.wav,0.24538782,0.11983135,0.0319797,-0.07497952,-0.21262053,True
0285.wav,5.238154e-06,5.7185225e-06,5.8223386e-06,4.4474664e-06,3.0787473e-06,False
0286.wav,1.1364391,0.96436286,0.8178737,0.5437417,0.3630007,True
0287.wav,0.050728254,0.030925753,0.018867603,0.0063652187,-0.0011150674,False
0288.wav,0.0,0.0,0.0,0.0,0.0,True
0289.wav,3.596863e-05,4.270235e-05,5.2313582e-05,4.084618e-05,4.676675e-05,False
0290.wav,1.2341394,1.1282141,1.1374353,1.163257,1.1363572,False
0291.wav,0.73440546,0.6540104,0.681148,0.67095363,0.6205539,True
0292.wav,0.0005136805,0.00047633864,0.00017378264,0.00034221617,-0.0008262114,False
0293.wav,-0.36476782,-0.15302385,-0.015891196,-0.034673184,-0.098143905,True
0294.wav,7.814374e-06,4.1652643e-06,-1.3210096e-05,-2.7379825e-05,-3.1049152e-05,False
0295.wav,7.3222316e-07,7.0347346e-07,7.0302997e-07,2.1152387e-06,1.2597337e-06,False
0296.wav,0.0,0.0,0.0,0.0,0.0,True
0297.wav,0.08770043,0.08238903,0.084721595,0.06546268,0.07173157,False
0298.wav,0.067189485,0.028379567,0.017316595,0.030695345,0.0337781,True
0299.wav,0.47053817,0.40527734,0.314735,0.17961594,0.030818522,False
0300.wav,0.42603132,0.41338944,0.41787142,0.4153736,0.29980156,False
0301.wav,1.0200036e-05,8.119854e-06,6.1511446e-06,6.568551e-06,9.733372e-06,False
0302.wav,-0.012210038,-0.015997397,-0.017470475,-0.014921246,-0.014961509,True
0303.wav,0.5242673,0.48330963,0.4268226,0.34863776,0.3002503,False
0304.wav,0.02227204,-0.08411636,-0.10939774,-0.12092897,-0.08768988,False
0305.wav,0.60250974,0.56795096,0.4917418,0.44564664,0.46889597,False
0306.wav,-0.0041510253,-0.006209587,-0.007769976,-0.009960758,-0.009756705,False
0307.wav,-0.13072617,-0.24673206,-0.26848486,-0.2666751,-0.32433587,True
0308.wav,-0.02023011,-0.022246685,-0.00066337734,0.023179216,0.086012274,True
0309.wav,-0.027803505,-0.16692334,-0.24373668,-0.3926133,-0.5092523,True
0310.wav,1.3359227,1.2122235,1.1739624,1.1184845,1.1127918,False
0311.wav,-0.52618676,-0.704936,-0.73207474,-0.6958536,-0.640362,True
0312.wav,0.56209415,0.51597476,0.47483456,0.3959639,0.33990788,False
0313.wav,-0.0009307052,-0.0015915417,-0.0023434209,-0.0040448923,-0.0057763197,True
0314.wav,7.182275,6.1248407,5.2497683,4.5132093,4.1125746,False
0315.wav,0.80853206,0.7418449,0.6757389,0.5663574,0.47226292,False
0316.wav,-1.7704782,-1.681654,-1.4386017,-1.3193026,-1.2364361,False
0317.wav,2.0046906,1.9021649,1.8124684,1.7558383,1.6637146,False
0318.wav,1.8789331,1.3596928,1.0171854,0.5432348,0.1719385,False
0319.wav,0.036677275,0.028872453,0.020466715,0.020839583,0.022462897,False
0320.wav,1.8781765,1.5170919,1.3329875,1.324705,1.2604549,True
0321.wav,-3.7687223e-06,-1.342994e-06,9.1046695e-07,1.2967182e-06,1.8147759e-06,False
0322.wav,3.2376881e-06,-2.5852964e-06,2.3745838e-06,-1.5125206e-06,1.6688298e-06,False
0323.wav,0.6803271,0.53127456,0.42245972,0.29967594,0.20624128,False
0324.wav,-0.00022583433,-0.0005069405,-0.0010657182,-0.0012393041,-0.00033811905,True
0325.wav,0.0,0.0,0.0,0.0,0.0,False
0326.wav,0.5538579,0.4050638,0.36116517,0.28545666,0.20955911,False
0327.wav,2.4019084,3.2314863,3.4184377,2.5928812,2.6135602,False
0328.wav,-0.63778806,-1.0487618,-0.6801845,-0.6346612,-0.69918096,False
0329.wav,0.29007542,0.3191437,0.2398482,0.11489998,0.009660545,True
0330.wav,2.0354571,1.885196,1.6821582,1.2498941,1.0469925,False
0331.wav,-1.335474e-05,-1.4529527e-05,-1.0612747e-05,-8.609591e-06,-5.3271724e-06,True
0332.wav,6.822681e-06,6.3929047e-06,6.2939625e-06,5.1450006e-06,4.4409617e-06,True
0333.wav,-0.89236385,-1.1551924,-1.1649382,-1.1855209,-1.3308012,False
0334.wav,-7.31077,-6.8915634,-6.8882065,-7.7831163,-7.1424456,False
0335.wav,1.1194204,0.40816545,0.8883798,0.26571685,0.46140867,False
